,mean_AQI,mean_PM25,mean_PM10,mean_NO2,mean_SO2,mean_O3,ARI_pct,Stunting_pct,Anaemia_pct,Underweight_pct
count,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
mean,162.69,66.33,117.69,26.21,14.83,32.21,2.46,33.09,64.58,29.44
std,95.95,29.0,46.34,15.82,13.04,10.43,0.98,6.22,10.52,7.29
min,44.48,28.28,43.2,2.86,5.28,11.72,0.3,23.28,38.29,17.66
25%,116.35,49.72,93.67,13.71,7.89,28.4,2.2,27.51,63.75,23.05
50%,137.48,60.2,119.66,26.07,10.13,32.36,2.51,33.18,68.92,30.77
75%,163.86,69.54,143.37,36.81,14.39,38.17,3.02,37.92,70.01,32.75
max,484.05,131.9,210.25,63.22,57.53,57.16,4.31,42.98,79.84,41.73
